"","count_perceptionPretestResponse","percepPretestA","percepPretestB","response_perceptionPretestResponse","subject_nr","audio","title","prepost","count_perceptionPostTestResponse","perceptionPostTestOptionA","perceptionPostTestOptionB","response_perceptionPostTestResponse","contrast","stepOnCon","BB","AF","responseV","count","pair"
"84",NA,NA,NA,NA,"2","pip-pep_continuumStep_2_stereo.wav","BB-AF-MN","post",79,"pip","pep","A","IE","2","BB","AF","I",79,"pip-pep"
"85",1,"kek","kik","E","3","kik-kek_continuumStep_2_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","2","NB","AF","I",1,"kik-kek"
"86",4,"kek","kik","A","3","kik-kek_continuumStep_6_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","6","NB","AF","E",4,"kik-kek"
"87",5,"pip","pep","A","3","pip-pep_continuumStep_2_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","2","NB","AF","I",5,"pip-pep"
"88",17,"pip","pep","E","3","pip-pep_continuumStep_6_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","6","NB","AF","E",17,"pip-pep"
"89",21,"pip","pep","E","3","pip-pep_continuumStep_4_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","4","NB","AF","E",21,"pip-pep"
"90",27,"pip","pep","A","3","pip-pep_continuumStep_1_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","1","NB","AF","I",27,"pip-pep"
"91",29,"sik","sec","E","3","sik-sec5.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","5","NB","AF","E",29,"sik-sec"
"92",34,"sik","sec","E","3","sik-sec7.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","7","NB","AF","E",34,"sik-sec"
"93",38,"sik","sec","A","3","sik-sec1.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","1","NB","AF","I",38,"sik-sec"
"94",44,"kek","kik","A","3","kik-kek_continuumStep_5_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","5","NB","AF","E",44,"kik-kek"
"95",53,"sik","sec","E","3","sik-sec6.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","6","NB","AF","E",53,"sik-sec"
"96",54,"sik","sec","A","3","sik-sec2.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","2","NB","AF","I",54,"sik-sec"
"97",57,"pip","pep","E","3","pip-pep_continuumStep_7_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","7","NB","AF","E",57,"pip-pep"
"98",62,"kek","kik","E","3","kik-kek_continuumStep_3_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","3","NB","AF","I",62,"kik-kek"
"99",64,"kek","kik","E","3","kik-kek_continuumStep_1_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","1","NB","AF","I",64,"kik-kek"
"100",69,"sik","sec","A","3","sik-sec3.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","3","NB","AF","I",69,"sik-sec"
"101",72,"pip","pep","A","3","pip-pep_continuumStep_5_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","5","NB","AF","I",72,"pip-pep"
"102",74,"pip","pep","A","3","pip-pep_continuumStep_3_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","3","NB","AF","I",74,"pip-pep"
"103",75,"kek","kik","E","3","kik-kek_continuumStep_4_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","4","NB","AF","I",75,"kik-kek"
"104",80,"sik","sec","A","3","sik-sec4.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","4","NB","AF","I",80,"sik-sec"
"105",83,"kek","kik","A","3","kik-kek_continuumStep_7_stereo.wav","NB-AF-MN","pre",NA,NA,NA,NA,"IE","7","NB","AF","E",83,"kik-kek"
"106",NA,NA,NA,NA,"3","sik-sec3.wav","NB-AF-MN","post",0,"sik","sec","A","IE","3","NB","AF","I",0,"sik-sec"
"107",NA,NA,NA,NA,"3","kik-kek_continuumStep_4_stereo.wav","NB-AF-MN","post",1,"kek","kik","E","IE","4","NB","AF","I",1,"kik-kek"
"108",NA,NA,NA,NA,"3","pip-pep_continuumStep_3_stereo.wav","NB-AF-MN","post",8,"pip","pep","A","IE","3","NB","AF","I",8,"pip-pep"
"109",NA,NA,NA,NA,"3","kik-kek_continuumStep_1_stereo.wav","NB-AF-MN","post",11,"kek","kik","E","IE","1","NB","AF","I",11,"kik-kek"
"110",NA,NA,NA,NA,"3","kik-kek_continuumStep_6_stereo.wav","NB-AF-MN","post",25,"kek","kik","A","IE","6","NB","AF","E",25,"kik-kek"
"111",NA,NA,NA,NA,"3","sik-sec6.wav","NB-AF-MN","post",29,"sik","sec","E","IE","6","NB","AF","E",29,"sik-sec"
"112",NA,NA,NA,NA,"3","pip-pep_continuumStep_6_stereo.wav","NB-AF-MN","post",31,"pip","pep","E","IE","6","NB","AF","E",31,"pip-pep"
"113",NA,NA,NA,NA,"3","kik-kek_continuumStep_7_stereo.wav","NB-AF-MN","post",32,"kek","kik","A","IE","7","NB","AF","E",32,"kik-kek"
"114",NA,NA,NA,NA,"3","pip-pep_continuumStep_1_stereo.wav","NB-AF-MN","post",36,"pip","pep","A","IE","1","NB","AF","I",36,"pip-pep"
"115",NA,NA,NA,NA,"3","sik-sec2.wav","NB-AF-MN","post",37,"sik","sec","A","IE","2","NB","AF","I",37,"sik-sec"
"116",NA,NA,NA,NA,"3","sik-sec5.wav","NB-AF-MN","post",38,"sik","sec","E","IE","5","NB","AF","E",38,"sik-sec"
"117",NA,NA,NA,NA,"3","sik-sec7.wav","NB-AF-MN","post",43,"sik","sec","E","IE","7","NB","AF","E",43,"sik-sec"
"118",NA,NA,NA,NA,"3","pip-pep_continuumStep_7_stereo.wav","NB-AF-MN","post",45,"pip","pep","E","IE","7","NB","AF","E",45,"pip-pep"
"119",NA,NA,NA,NA,"3","pip-pep_continuumStep_5_stereo.wav","NB-AF-MN","post",46,"pip","pep","E","IE","5","NB","AF","E",46,"pip-pep"
"120",NA,NA,NA,NA,"3","kik-kek_continuumStep_2_stereo.wav","NB-AF-MN","post",49,"kek","kik","E","IE","2","NB","AF","I",49,"kik-kek"
"121",NA,NA,NA,NA,"3","sik-sec1.wav","NB-AF-MN","post",55,"sik","sec","A","IE","1","NB","AF","I",55,"sik-sec"
"122",NA,NA,NA,NA,"3","sik-sec4.wav","NB-AF-MN","post",58,"sik","sec","E","IE","4","NB","AF","E",58,"sik-sec"
"123",NA,NA,NA,NA,"3","kik-kek_continuumStep_3_stereo.wav","NB-AF-MN","post",64,"kek","kik","E","IE","3","NB","AF","I",64,"kik-kek"
"124",NA,NA,NA,NA,"3","pip-pep_continuumStep_4_stereo.wav","NB-AF-MN","post",67,"pip","pep","E","IE","4","NB","AF","E",67,"pip-pep"
"125",NA,NA,NA,NA,"3","pip-pep_continuumStep_2_stereo.wav","NB-AF-MN","post",68,"pip","pep","A","IE","2","NB","AF","I",68,"pip-pep"
"126",NA,NA,NA,NA,"3","kik-kek_continuumStep_5_stereo.wav","NB-AF-MN","post",79,"kek","kik","A","IE","5","NB","AF","E",79,"kik-kek"
"127",13,"sik","sec","E","4","sik-sec6.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","6","BB","MN","E",13,"sik-sec"
"128",15,"kek","kik","E","4","kik-kek_continuumStep_3_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","3","BB","MN","I",15,"kik-kek"
"129",16,"kek","kik","E","4","kik-kek_continuumStep_2_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","2","BB","MN","I",16,"kik-kek"
"130",19,"kek","kik","E","4","kik-kek_continuumStep_4_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","4","BB","MN","I",19,"kik-kek"
"131",21,"sik","sec","A","4","sik-sec3.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","3","BB","MN","I",21,"sik-sec"
"132",22,"sik","sec","A","4","sik-sec4.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","4","BB","MN","I",22,"sik-sec"
"133",25,"kek","kik","E","4","kik-kek_continuumStep_6_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","6","BB","MN","I",25,"kik-kek"
"134",28,"sik","sec","A","4","sik-sec1.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","1","BB","MN","I",28,"sik-sec"
"135",32,"kek","kik","E","4","kik-kek_continuumStep_5_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","5","BB","MN","I",32,"kik-kek"
"136",34,"pip","pep","A","4","pip-pep_continuumStep_7_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","7","BB","MN","I",34,"pip-pep"
"137",35,"pip","pep","E","4","pip-pep_continuumStep_6_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","6","BB","MN","E",35,"pip-pep"
"138",40,"pip","pep","A","4","pip-pep_continuumStep_3_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","3","BB","MN","I",40,"pip-pep"
"139",41,"sik","sec","A","4","sik-sec5.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","5","BB","MN","I",41,"sik-sec"
"140",48,"sik","sec","A","4","sik-sec2.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","2","BB","MN","I",48,"sik-sec"
"141",55,"pip","pep","E","4","pip-pep_continuumStep_5_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","5","BB","MN","E",55,"pip-pep"
"142",62,"kek","kik","E","4","kik-kek_continuumStep_1_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","1","BB","MN","I",62,"kik-kek"
"143",66,"pip","pep","A","4","pip-pep_continuumStep_2_stereo.wav","BB-MN-AF","pre",NA,NA,NA,NA,"IE","2","BB","MN","I",66,"pip-pep"
